"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Justin Tucker",BAL,"13","-","0","+1.7","75% (12/16)"
"2",1,"Tyler Bass",BUF,"13","-","+3","+0.3","50% (8/16)"
"3",1,"Harrison Butker",KC,"10","-","+1","-1.2","38% (5/13)"
"4",1,"Daniel Carlson",LV,"13","-","-2","+1.6","68% (11/16)"
"5",1,"Evan McPherson",CIN,"7","-","-2","-0.1","43% (7/16)"
"6",2,"Younghoe Koo",ATL,"11","-","0","+1.2","56% (9/16)"
"7",2,"Jason Myers",SEA,"5","-","0","+1.8","68% (11/16)"
"8",2,"Jason Sanders",MIA,"10","-","+7","+0.1","43% (7/16)"
"9",2,"Brandon McManus",JAC,"9","-","+5","+1.0","50% (8/16)"
"10",2,"Jake Elliott",PHI,"10","-","-2","-1.1","26% (4/15)"
"11",2,"Graham Gano",NYG,"13","-","-2","+1.1","56% (9/16)"
"12",3,"Greg Zuerlein",NYJ,"7","-","0","+1.7","56% (9/16)"
"13",3,"Jake Moody",SF,"9","-","-2","-","-"
"14",3,"Greg Joseph",MIN,"13","-","+7","-0.1","50% (8/16)"
"15",3,"Matt Gay",IND,"11","-","-2","+0.6","50% (8/16)"
"16",3,"Wil Lutz",NO,"11","-","+4","+0.1","56% (9/16)"
"17",3,"Riley Patterson",DET,"9","-","0","+1.4","56% (9/16)"
"18",3,"Chris Boswell",PIT,"6","-","-2","+1.3","63% (7/11)"
"19",4,"Cameron Dicker",LAC,"5","-","-9","+1.0","70% (7/10)"
"20",4,"Nick Folk",NE,"11","-","-2","+1.2","50% (8/16)"
"21",4,"Cade York",CLE,"5","-","+11","+0.4","50% (8/16)"
"22",4,"Eddy Pineiro",CAR,"7","-","+1","+2.3","56% (9/16)"
"23",4,"Dustin Hopkins",LAC,"5","-","+26","-1.4","33% (2/6)"
"24",4,"Brett Maher",DEN,"9","-","-5","+2.2","56% (9/16)"
"25",4,"Chad Ryland",NE,"11","-","+4","-","-"
"26",4,"Cairo Santos",CHI,"13","-","-1","+0.1","33% (5/15)"
"27",4,"Ka'imi Fairbairn",HOU,"7","-","+7","+1.7","68% (11/16)"
"28",4,"Matt Prater",ARI,"14","-","-4","+1.5","58% (7/12)"
"29",4,"Michael Badgley",TEN,"7","-","-7","+1.0","71% (10/14)"
"30",5,"Brandon Aubrey",DAL,"7","-","-4","-","-"
"31",5,"Joey Slye",WAS,"14","-","+4","+0.1","43% (7/16)"
"32",5,"Anders Carlson",GB,"6","-","-5","-","-"
"33",5,"Tanner Brown",LAR,"10","-","+6","-","-"
"34",5,"Robbie Gould",FA,"-","-","-1","+0.7","43% (7/16)"
"35",5,"Ryan Succop",FA,"-","-","-","+0.2","43% (7/16)"
"36",5,"Chase McLaughlin",TB,"5","-","-6","+1.5","60% (9/15)"
"37",5,"Rodrigo Blankenship",FA,"-","-","0","-4.8","33% (2/6)"
"38",5,"Tristan Vizcaino",FA,"-","-","-","-4.4","33% (1/3)"
"39",5,"Elliott Fry",FA,"-","-","-","-","-"
"40",5,"Caleb Shudak",FA,"-","-","+3","-1.6","50% (1/2)"
