"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Patrick Mahomes II",KC,"10","5.0","0","+1.4","64% (11/17)"
"2",1,"Jalen Hurts",PHI,"10","4.0","+1","+3.2","71% (10/14)"
"3",1,"Josh Allen",BUF,"13","4.2","-1","-0.4","43% (7/16)"
"4",2,"Lamar Jackson",BAL,"13","5.0","0","-2.5","25% (3/12)"
"5",2,"Joe Burrow",CIN,"7","4.6","0","+2.9","56% (9/16)"
"6",2,"Justin Herbert",LAC,"5","4.8","0","-3.7","35% (6/17)"
"7",2,"Justin Fields",CHI,"13","7.8","0","+2.8","66% (10/15)"
"8",2,"Trevor Lawrence",JAC,"9","5.4","0","+1.9","56% (9/16)"
"9",3,"Daniel Jones",NYG,"13","1.4","+5","+2.2","62% (10/16)"
"10",3,"Dak Prescott",DAL,"7","3.4","0","+0.7","54% (6/11)"
"11",3,"Deshaun Watson",CLE,"5","4.0","-2","-2.4","40% (2/5)"
"12",3,"Geno Smith",SEA,"5","3.2","+4","+1.4","62% (10/16)"
"13",3,"Tua Tagovailoa",MIA,"10","2.2","-2","+0.1","38% (5/13)"
"14",3,"Kirk Cousins",MIN,"13","6.4","-1","+1.0","50% (8/16)"
"15",3,"Anthony Richardson",IND,"11","5.4","0","-","-"
"16",3,"Aaron Rodgers",NYJ,"7","4.0","-4","-2.1","25% (4/16)"
"17",4,"Jared Goff",DET,"9","6.6","0","+1.6","56% (9/16)"
"18",4,"Russell Wilson",DEN,"9","7.6","0","-1.1","28% (4/14)"
"19",4,"Derek Carr",NO,"11","8.8","+2","-1.4","40% (6/15)"
"20",4,"Jordan Love",GB,"6","9.6","+5","0.0","14% (2/14)"
"21",4,"Kenny Pickett",PIT,"6","3.6","-2","-1.2","26% (4/15)"
"22",4,"Matthew Stafford",LAR,"10","2.0","0","-3.7","33% (3/9)"
"23",4,"Sam Howell",WAS,"14","1.6","+5","-0.3","0% (0/3)"
"24",4,"Bryce Young",CAR,"7","7.0","-1","-","-"
"25",4,"Brock Purdy",SF,"9","4.4","-5","+1.0","41% (5/12)"
"26",5,"Ryan Tannehill",TEN,"7","6.8","+4","-0.6","41% (5/12)"
"27",5,"C.J. Stroud",HOU,"7","6.0","-3","-","-"
"28",5,"Kyler Murray",ARI,"14","2.4","-2","-1.1","36% (4/11)"
"29",5,"Jimmy Garoppolo",LV,"13","6.2","-2","+2.5","54% (6/11)"
"30",5,"Mac Jones",NE,"11","3.4","-1","-1.6","30% (4/13)"
