"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Christian McCaffrey",SF,"9","6.8","0","+1.1","50% (8/16)"
"2",1,"Austin Ekeler",LAC,"5","4.4","0","+0.4","47% (8/17)"
"3",1,"Bijan Robinson",ATL,"11","5.2","0","-","-"
"4",2,"Nick Chubb",CLE,"5","3.2","+1","+0.4","50% (8/16)"
"5",2,"Saquon Barkley",NYG,"13","3.0","-1","-1.1","37% (6/16)"
"6",2,"Tony Pollard",DAL,"7","4.4","+1","+3.2","60% (9/15)"
"7",2,"Josh Jacobs",LV,"13","4.4","+1","+2.8","56% (9/16)"
"8",2,"Derrick Henry",TEN,"7","7.4","-2","+1.3","53% (8/15)"
"9",3,"Rhamondre Stevenson",NE,"11","2.8","+3","-0.9","50% (8/16)"
"10",3,"Joe Mixon",CIN,"7","5.0","+3","-1.4","35% (5/14)"
"11",3,"Najee Harris",PIT,"6","5.6","-1","0.0","43% (7/16)"
"12",3,"Aaron Jones",GB,"6","7.2","+3","-0.8","43% (7/16)"
"13",3,"Travis Etienne Jr.",JAC,"9","2.8","-2","-0.8","56% (9/16)"
"14",3,"Jahmyr Gibbs",DET,"9","8.8","0","-","-"
"15",3,"Jonathan Taylor",IND,"11","4.8","-6","-5.1","27% (3/11)"
"16",3,"Dameon Pierce",HOU,"7","4.0","+1","-1.3","38% (5/13)"
"17",4,"Alexander Mattison",MIN,"13","8.0","+4","-0.3","37% (6/16)"
"18",4,"Breece Hall",NYJ,"7","4.6","0","+4.9","83% (5/6)"
"19",4,"Kenneth Walker III",SEA,"5","3.6","-3","+1.1","42% (6/14)"
"20",4,"Miles Sanders",CAR,"7","5.6","0","+0.7","43% (7/16)"
"21",4,"Cam Akers",LAR,"10","4.4","+1","+0.9","42% (6/14)"
"22",4,"J.K. Dobbins",BAL,"13","5.0","-3","-0.2","37% (3/8)"
"23",4,"James Cook",BUF,"13","2.6","+5","+1.4","56% (9/16)"
"24",4,"James Conner",ARI,"14","5.2","0","+0.7","53% (7/13)"
"25",4,"Rachaad White",TB,"5","5.8","+2","-0.1","37% (6/16)"
"26",4,"David Montgomery",DET,"9","8.2","+5","-1.4","40% (6/15)"
"27",4,"Javonte Williams",DEN,"9","6.6","-4","-2.8","33% (1/3)"
"28",5,"Alvin Kamara",NO,"11","7.0","-2","-2.9","21% (3/14)"
"29",5,"Isiah Pacheco",KC,"10","6.6","+1","-0.5","41% (7/17)"
"30",5,"Khalil Herbert",CHI,"13","8.2","+2","+2.3","41% (5/12)"
"31",5,"D'Andre Swift",PHI,"10","2.2","-2","+1.3","46% (6/13)"
"32",5,"Dalvin Cook",NYJ,"7","8.0","-7","-2.0","31% (5/16)"
"33",5,"Antonio Gibson",WAS,"14","4.4","+1","-0.3","33% (5/15)"
"34",5,"Brian Robinson Jr.",WAS,"14","5.2","+1","-0.2","41% (5/12)"
"35",5,"AJ Dillon",GB,"6","7.2","-2","+0.8","31% (5/16)"
"36",5,"Samaje Perine",DEN,"9","6.8","+3","+1.8","50% (8/16)"
"37",5,"Zach Charbonnet",SEA,"5","3.4","0","-","-"
"38",5,"Jamaal Williams",NO,"11","7.0","-2","+2.2","50% (8/16)"
"39",6,"Kenneth Gainwell",PHI,"10","2.0","+9","-0.2","37% (6/16)"
"40",6,"Jaylen Warren",PIT,"6","5.2","+5","+0.8","40% (6/15)"
"41",6,"Jerick McKinnon",KC,"10","7.2","+1","+2.6","58% (10/17)"
"42",6,"Elijah Mitchell",SF,"9","6.8","+1","-1.4","25% (1/4)"
