"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Justin Jefferson",MIN,"WR1","13","4.0","0","+1.4","56% (9/16)"
"2",1,"Christian McCaffrey",SF,"RB1","9","6.8","0","+1.1","50% (8/16)"
"3",1,"Ja'Marr Chase",CIN,"WR2","7","5.6","0","-1.2","33% (4/12)"
"4",1,"Austin Ekeler",LAC,"RB2","5","4.4","0","+0.4","47% (8/17)"
"5",2,"Travis Kelce",KC,"TE1","10","7.8","0","-0.2","47% (8/17)"
"6",2,"Bijan Robinson",ATL,"RB3","11","5.2","+3","-","-"
"7",2,"Cooper Kupp",LAR,"WR3","10","4.4","0","0.0","66% (6/9)"
"8",2,"Tyreek Hill",MIA,"WR4","10","4.2","-2","+1.0","50% (8/16)"
"9",2,"Nick Chubb",CLE,"RB4","5","3.2","+1","+0.4","50% (8/16)"
"10",2,"Saquon Barkley",NYG,"RB5","13","3.0","-2","-1.1","37% (6/16)"
"11",3,"Stefon Diggs",BUF,"WR5","13","1.0","0","-0.9","43% (7/16)"
"12",3,"CeeDee Lamb",DAL,"WR6","7","2.8","0","+0.7","50% (8/16)"
"13",3,"Tony Pollard",DAL,"RB6","7","4.4","+4","+3.2","60% (9/15)"
"14",3,"Derrick Henry",TEN,"RB7","7","7.4","+2","+1.3","53% (8/15)"
"15",3,"Davante Adams",LV,"WR7","13","1.8","+3","+0.5","43% (7/16)"
"16",3,"A.J. Brown",PHI,"WR8","10","5.0","-3","+0.6","50% (8/16)"
"17",3,"Jonathan Taylor",IND,"RB8","11","4.8","-2","-5.1","27% (3/11)"
"18",3,"Amon-Ra St. Brown",DET,"WR9","9","4.4","+1","-0.4","33% (5/15)"
"19",3,"Josh Jacobs",LV,"RB9","13","4.4","+3","+2.8","56% (9/16)"
"20",3,"Garrett Wilson",NYJ,"WR10","7","3.6","0","-0.4","31% (5/16)"
"21",4,"Jaylen Waddle",MIA,"WR11","10","4.4","+3","+0.3","50% (8/16)"
"22",4,"Najee Harris",PIT,"RB10","6","5.6","+4","0.0","43% (7/16)"
"23",4,"DeVonta Smith",PHI,"WR12","10","5.2","+4","+1.7","62% (10/16)"
"24",4,"Chris Olave",NO,"WR13","11","9.0","+4","-0.5","35% (5/14)"
"25",4,"Tee Higgins",CIN,"WR14","7","6.0","+6","-1.3","37% (6/16)"
"26",4,"Mark Andrews",BAL,"TE2","13","6.0","+3","-2.7","33% (5/15)"
"27",4,"Rhamondre Stevenson",NE,"RB11","11","2.8","-2","-0.9","50% (8/16)"
"28",4,"Patrick Mahomes II",KC,"QB1","10","5.0","-14","+1.4","64% (11/17)"
"29",4,"Travis Etienne Jr.",JAC,"RB12","9","2.8","+1","-0.8","56% (9/16)"
"30",4,"Jalen Hurts",PHI,"QB2","10","4.0","-7","+3.2","71% (10/14)"
"31",4,"Joe Mixon",CIN,"RB13","7","5.0","+6","-1.4","35% (5/14)"
"32",4,"Josh Allen",BUF,"QB3","13","4.2","-11","-0.4","43% (7/16)"
"33",5,"DK Metcalf",SEA,"WR15","5","6.8","+3","-1.9","43% (7/16)"
"34",5,"Jahmyr Gibbs",DET,"RB14","9","8.8","+1","-","-"
"35",5,"Aaron Jones",GB,"RB15","6","7.2","+4","-0.8","43% (7/16)"
"36",5,"Amari Cooper",CLE,"WR16","5","5.6","+6","+0.5","43% (7/16)"
"37",5,"Keenan Allen",LAC,"WR17","5","4.6","+8","-2.0","50% (5/10)"
"38",5,"Deebo Samuel",SF,"WR18","9","6.8","0","-2.8","25% (3/12)"
"39",5,"Breece Hall",NYJ,"RB16","7","4.6","-6","+4.9","83% (5/6)"
"40",5,"Kenneth Walker III",SEA,"RB17","5","3.6","0","+1.1","42% (6/14)"
"41",5,"Miles Sanders",CAR,"RB18","7","5.6","+7","+0.7","43% (7/16)"
"42",5,"Lamar Jackson",BAL,"QB4","13","5.0","-10","-2.5","25% (3/12)"
"43",5,"Calvin Ridley",JAC,"WR19","9","8.6","-2","-","-"
"44",5,"T.J. Hockenson",MIN,"TE3","13","4.8","-1","+0.6","37% (6/16)"
"45",6,"Dameon Pierce",HOU,"RB19","7","4.0","-1","-1.3","38% (5/13)"
"46",6,"Cam Akers",LAR,"RB20","10","4.4","+9","+0.9","42% (6/14)"
"47",6,"Terry McLaurin",WAS,"WR20","14","3.6","+3","-1.2","43% (7/16)"
"48",6,"DJ Moore",CHI,"WR21","13","4.4","+5","-1.0","37% (6/16)"
"49",6,"Joe Burrow",CIN,"QB5","7","4.6","-15","+2.9","56% (9/16)"
"50",6,"Jerry Jeudy",DEN,"WR22","9","3.6","+7","+0.3","50% (7/14)"
"51",6,"J.K. Dobbins",BAL,"RB21","13","5.0","+1","-0.2","37% (3/8)"
"52",6,"Alexander Mattison",MIN,"RB22","13","8.0","+4","-0.3","37% (6/16)"
"53",6,"DeAndre Hopkins",TEN,"WR23","7","5.6","-2","-0.9","33% (3/9)"
